"","MSOA11CD.row","tuesday.12pm15","tuesday.12pm30","tuesday.12pm45","tuesday.12pm60","tuesday.12pm75","tuesday.12pm90"
"489",1641,NA,NA,1,4,4,4
"490",1642,NA,NA,NA,1,4,4
"491",1643,NA,NA,1,1,1,2
"492",1644,NA,NA,NA,1,1,2
"493",1645,NA,NA,1,1,1,2
"494",1646,NA,NA,1,1,2,3
"495",1647,NA,NA,1,1,2,3
"496",1648,NA,NA,1,1,2,3
"497",1649,NA,1,1,1,4,4
"499",1650,NA,1,1,2,4,4
"500",1651,NA,1,1,1,3,4
"501",1652,NA,1,1,2,4,4
"502",1653,NA,1,2,2,4,4
"503",1654,NA,NA,2,2,4,4
"504",1655,NA,1,1,1,3,4
"505",1656,NA,1,2,2,4,4
"506",1657,NA,NA,2,2,3,4
"507",1658,NA,NA,2,4,4,4
"508",1659,NA,1,1,1,1,4
"510",1660,NA,NA,2,2,4,4
"511",1661,NA,NA,1,1,1,3
"512",1662,NA,NA,2,3,4,4
"513",1663,NA,1,2,3,4,4
"514",1665,NA,NA,1,3,4,4
"515",1666,NA,NA,NA,1,1,1
"516",1668,NA,NA,1,3,3,4
"517",1669,NA,NA,NA,1,1,1
"519",1670,NA,NA,1,2,3,4
"520",1671,NA,NA,1,2,3,4
"521",1672,NA,NA,NA,1,2,2
"522",1673,NA,1,2,2,3,4
"523",1674,NA,NA,1,2,3,4
"524",1675,NA,NA,2,2,2,4
"525",1676,NA,NA,1,2,2,4
"526",1677,NA,1,1,2,3,4
"527",1678,NA,2,2,2,3,4
"528",1679,NA,1,2,2,3,4
"530",1680,NA,NA,1,2,3,3
"531",1681,NA,NA,1,1,2,3
"532",1682,NA,1,1,2,3,4
"533",1683,NA,1,2,2,3,4
"534",1684,NA,NA,2,2,3,4
"535",1685,NA,NA,1,1,3,4
"536",1686,NA,1,2,2,2,4
"537",1687,NA,NA,1,1,1,3
"538",1688,NA,1,1,2,3,4
"539",1689,NA,1,2,2,3,4
"541",1690,NA,1,2,2,3,4
"542",1691,NA,1,1,1,3,4
"543",1692,NA,1,2,2,3,4
"544",1693,NA,1,1,2,3,4
"545",1694,NA,NA,2,2,2,4
"546",1695,NA,1,1,3,3,4
"547",1696,NA,NA,2,2,2,3
"548",1698,NA,NA,1,2,2,3
"549",1699,NA,NA,1,2,2,2
"552",1700,NA,NA,NA,1,1,3
"553",1701,NA,1,1,2,2,3
"554",1702,NA,1,1,2,2,3
"555",1703,NA,NA,1,1,1,1
"556",1704,NA,NA,1,2,2,3
"557",1705,NA,NA,1,2,2,2
"558",1706,NA,NA,1,2,2,2
"559",1707,1,1,1,2,2,3
"560",1708,NA,NA,1,2,2,3
"561",1709,NA,1,1,1,2,2
"563",1710,NA,NA,2,2,2,4
"564",1711,NA,1,1,2,2,3
"565",1712,NA,NA,1,2,2,3
"566",1713,NA,NA,1,1,2,2
"567",1714,NA,1,1,2,2,3
"568",1715,NA,NA,1,2,2,4
"569",1716,NA,1,1,2,2,3
"570",1717,NA,1,2,2,2,3
"571",1718,NA,NA,2,2,2,3
"572",1719,NA,1,1,2,2,3
"574",1720,NA,1,2,2,3,3
"575",1721,NA,1,2,2,2,4
"576",1722,NA,1,1,2,2,3
"577",1723,NA,1,2,2,2,3
"578",1724,NA,1,1,2,2,3
"579",1725,NA,1,1,2,2,3
"580",1726,NA,1,2,2,2,3
"581",1727,NA,NA,NA,3,3,3
"582",1728,NA,NA,2,2,3,4
"583",1729,NA,NA,1,3,3,4
"585",1730,NA,NA,NA,1,3,3
"586",1731,NA,NA,1,2,3,3
"587",1732,NA,NA,1,2,3,3
"588",1733,NA,NA,NA,3,3,3
"589",1734,NA,NA,NA,1,2,3
"590",1735,NA,NA,1,1,3,4
"591",1736,NA,NA,2,2,3,4
"592",1737,NA,NA,NA,2,3,3
"593",1738,NA,NA,2,2,3,4
"594",1739,NA,NA,1,2,3,3
"596",1740,NA,NA,1,2,2,4
"597",1741,NA,NA,1,2,3,4
"598",1743,NA,NA,1,2,2,3
"599",1745,NA,1,2,2,4,4
"600",1746,NA,NA,NA,1,2,2
"601",1747,NA,NA,2,2,2,3
"602",1748,NA,NA,1,2,2,4
"603",1749,NA,NA,1,2,2,3
"605",1750,NA,1,1,2,2,3
"606",1751,NA,NA,1,1,2,2
"607",1752,NA,1,1,2,2,3
"608",1753,NA,NA,2,2,2,4
"609",1754,NA,1,1,1,2,2
"610",1755,NA,NA,1,1,3,3
"611",1756,1,1,1,3,4,4
"612",1757,NA,1,1,3,3,4
"613",1758,NA,NA,1,2,2,4
"614",1759,NA,NA,NA,1,2,3
"616",1760,NA,NA,1,2,3,4
"617",1761,NA,NA,NA,2,3,3
"618",1762,NA,NA,NA,2,3,4
"619",1763,NA,NA,NA,2,2,3
"620",1764,NA,NA,1,1,3,3
"621",1765,NA,NA,NA,2,3,3
"622",1766,NA,1,1,3,3,4
"623",1767,NA,NA,2,2,3,4
"624",1768,NA,NA,NA,3,3,4
"625",1769,NA,NA,1,2,2,4
"627",1770,NA,NA,NA,1,3,3
"628",1771,NA,NA,NA,2,2,4
"629",1772,NA,NA,NA,2,3,4
"630",1773,NA,NA,NA,1,3,3
"631",1774,NA,NA,NA,1,2,3
"632",1775,NA,NA,NA,2,2,3
"633",1776,NA,NA,NA,1,3,3
"634",1777,NA,NA,1,3,3,4
"635",1779,NA,NA,NA,NA,3,3
"637",1780,NA,NA,NA,2,3,3
"638",1781,NA,NA,NA,2,3,3
"639",1782,NA,NA,NA,2,3,3
"640",1783,NA,NA,NA,1,3,3
"641",1784,NA,NA,NA,2,2,4
"642",1785,NA,NA,NA,2,3,5
"643",1786,NA,NA,NA,1,3,3
"644",1788,NA,NA,NA,2,4,4
"645",1789,NA,NA,NA,NA,4,4
"647",1790,NA,NA,2,4,4,6
"648",1791,NA,NA,2,3,5,5
"649",1792,NA,NA,2,4,5,5
"650",1793,NA,NA,2,4,4,5
"651",1794,NA,NA,2,3,5,5
"652",1796,NA,NA,4,4,5,6
"653",1797,NA,1,2,3,4,5
"654",1798,NA,NA,1,2,4,4
"655",1799,NA,NA,2,4,4,6
"658",1800,NA,1,3,4,5,6
"659",1801,NA,NA,NA,3,4,4
"660",1802,NA,NA,4,4,4,6
"661",1803,NA,NA,2,4,4,5
"662",1804,NA,NA,NA,1,2,2
"663",1805,NA,1,2,3,5,5
"664",1806,NA,NA,3,3,5,6
"665",1807,NA,NA,3,4,6,6
"666",1808,NA,NA,2,3,4,6
"667",1809,NA,2,2,4,5,6
"669",1810,NA,NA,3,3,4,6
"670",1811,NA,NA,1,2,2,4
"671",1812,NA,NA,2,3,3,4
"672",1813,NA,1,3,3,6,6
"673",1814,NA,1,3,5,6,6
"674",1815,NA,2,3,4,5,6
"675",1816,NA,1,2,5,6,6
"676",1817,NA,1,3,4,5,6
"677",1818,NA,NA,1,5,5,5
"678",1819,1,1,3,3,3,4
"680",1820,NA,1,1,3,5,6
"681",1821,NA,NA,4,5,6,6
"682",1822,NA,2,3,4,5,6
"683",1823,NA,2,4,5,5,6
"684",1824,NA,1,3,3,5,6
"685",1825,NA,1,2,2,4,5
"686",1826,NA,1,2,3,4,4
"687",1827,NA,1,1,3,4,6
"688",1828,NA,NA,1,3,3,5
"689",1829,NA,NA,4,6,6,6
"691",1830,NA,1,3,3,5,6
"692",1831,NA,2,4,5,6,6
"693",1832,1,2,3,5,6,6
"694",1833,NA,1,3,3,5,6
"695",1834,NA,NA,1,1,1,1
"696",1835,NA,NA,3,5,6,6
"697",1836,NA,NA,1,3,3,6
"698",1837,NA,1,2,3,4,6
"699",1838,NA,NA,2,3,4,5
"700",1839,NA,NA,1,3,3,5
"702",1840,NA,1,2,3,4,5
"703",1841,NA,NA,1,4,6,6
"704",1842,NA,NA,1,3,3,4
"705",1843,NA,1,2,2,4,4
"706",1844,NA,1,3,4,5,7
"707",1845,NA,NA,1,2,4,4
"708",1846,NA,NA,1,3,3,4
"709",1847,NA,NA,1,1,2,3
"710",1848,NA,1,2,3,4,5
"711",1849,NA,1,2,2,3,4
"713",1850,NA,NA,1,3,3,4
"714",1851,NA,NA,2,4,6,7
"715",1852,NA,2,2,2,5,5
"716",1853,NA,1,2,2,4,6
"717",1854,NA,NA,1,2,4,4
"718",1855,NA,1,2,3,5,6
"719",1856,NA,NA,NA,2,2,3
"720",1857,NA,2,3,3,6,6
"721",1858,NA,NA,1,4,7,7
"722",1859,NA,NA,NA,2,3,4
"724",1860,NA,1,2,3,5,6
"725",1861,NA,2,2,3,4,6
"726",1862,NA,2,2,3,4,5
"727",1863,NA,NA,1,3,6,7
"728",1864,NA,1,2,2,7,7
"729",1865,NA,1,1,1,1,1
"730",1866,NA,NA,2,3,3,4
"731",1867,NA,NA,2,2,2,2
"732",1868,1,1,2,3,4,6
"733",1869,NA,1,2,3,4,6
"735",1870,NA,NA,1,3,4,6
"736",1871,NA,NA,2,3,4,7
"737",1872,NA,1,2,4,6,7
"738",1873,NA,1,2,2,2,3
"739",1874,NA,NA,2,2,3,4
"740",1875,NA,1,2,4,6,7
"741",1876,NA,1,2,2,3,4
"742",1877,NA,NA,1,2,4,7
"743",1878,NA,NA,1,3,4,5
"744",1879,NA,NA,2,2,3,3
"746",1880,NA,1,2,2,3,6
"747",1881,NA,1,2,2,2,4
"748",1882,NA,NA,1,3,4,5
"749",1883,NA,1,2,2,3,6
"750",1884,NA,NA,2,2,2,4
"751",1885,NA,NA,NA,2,3,4
"752",1886,NA,1,2,2,2,4
"753",1887,NA,1,2,2,3,4
"754",1888,NA,1,1,2,4,7
"755",1889,NA,NA,2,3,3,6
"757",1890,NA,NA,2,2,3,4
"758",1891,NA,NA,1,3,3,4
"759",1892,NA,1,1,1,1,1
"760",1893,NA,NA,1,2,3,4
"761",1894,NA,NA,2,3,3,5
"762",1895,NA,NA,1,3,3,5
"763",1896,NA,NA,1,2,3,3
"764",1897,NA,NA,2,2,2,3
"765",1898,NA,NA,1,2,3,4
"766",1899,NA,NA,3,3,4,6
"769",1900,NA,NA,2,3,4,5
"770",1901,NA,NA,2,3,3,4
"771",1902,NA,NA,1,3,3,4
"772",1903,NA,NA,1,3,3,3
"773",1904,NA,NA,2,3,4,4
"774",1905,NA,1,2,3,4,5
"775",1906,NA,NA,2,3,3,3
"778",1922,NA,NA,NA,NA,NA,1
"779",1925,NA,NA,NA,NA,NA,1
"782",1948,NA,1,2,3,3,3
"783",1949,NA,2,2,2,3,3
"785",1950,NA,NA,2,2,3,3
"786",1951,NA,2,2,2,3,4
"787",1952,NA,2,2,2,3,4
"788",1953,NA,1,2,2,3,6
"789",1954,NA,NA,1,2,2,4
"790",1955,NA,NA,2,2,2,3
"791",1956,NA,NA,2,2,2,4
"792",1957,NA,1,2,2,4,6
"793",1958,NA,1,2,3,3,6
"794",1959,NA,NA,NA,1,2,3
"796",1960,NA,1,2,2,3,3
"797",1961,NA,NA,NA,2,2,2
"798",1962,NA,1,2,2,5,7
"799",1963,NA,NA,NA,2,2,3
"800",1964,NA,NA,2,2,3,3
"801",1965,NA,1,2,2,5,5
"802",1966,NA,NA,NA,1,2,3
"803",1967,NA,NA,2,2,3,5
"804",1968,NA,NA,NA,2,2,3
"805",1969,NA,NA,2,2,3,5
"807",1970,NA,NA,1,2,2,3
"808",1971,NA,NA,NA,1,2,2
"809",1972,NA,NA,1,2,4,5
"810",1973,NA,NA,1,6,7,7
"811",1974,NA,NA,NA,1,2,4
"812",1975,NA,NA,NA,1,2,4
"813",1976,NA,NA,NA,1,2,2
"814",1977,NA,NA,1,6,7,7
"815",1978,NA,NA,NA,2,2,5
"816",1979,NA,NA,NA,1,3,7
"818",1980,NA,NA,NA,1,5,7
"819",1981,NA,NA,NA,3,6,7
"820",1982,NA,NA,NA,1,2,5
"821",1983,NA,NA,NA,NA,2,3
"822",1984,NA,NA,NA,NA,2,6
"823",1985,NA,NA,NA,NA,1,2
"824",1986,NA,NA,1,4,7,7
"825",1987,NA,NA,NA,1,2,5
"826",1988,NA,NA,NA,NA,NA,2
"827",1989,NA,NA,NA,NA,1,5
"829",1990,NA,NA,NA,1,7,7
"830",1991,NA,1,3,3,3,3
"831",1992,NA,NA,1,2,3,4
"832",1993,NA,NA,3,3,3,4
"833",1994,NA,NA,3,3,3,4
"834",1995,NA,1,4,6,6,6
"835",1996,NA,NA,2,5,6,6
"836",1997,1,2,3,3,3,4
"837",1998,1,2,3,3,3,4
"838",1999,NA,NA,3,3,4,4
"842",2000,NA,NA,1,4,6,6
"843",2001,NA,NA,3,5,5,5
"844",2002,NA,1,2,3,3,3
"845",2003,NA,2,3,4,5,6
"846",2004,1,2,2,3,3,4
"847",2005,NA,NA,2,3,3,4
"848",2006,NA,NA,2,4,5,5
"849",2007,NA,NA,2,3,3,3
"850",2008,NA,NA,3,3,4,4
"851",2009,NA,NA,2,5,5,5
"853",2010,NA,1,2,3,6,6
"854",2011,NA,NA,1,2,6,6
"855",2012,NA,NA,1,5,6,6
"856",2013,NA,NA,1,3,6,6
"857",2014,NA,1,2,2,7,7
"858",2015,NA,NA,1,3,5,5
"859",2016,NA,NA,1,3,5,6
"860",2017,NA,NA,1,3,6,6
"861",2018,NA,NA,1,2,7,7
"862",2019,NA,NA,1,4,6,6
"864",2020,NA,NA,NA,3,6,6
"865",2021,NA,NA,1,3,6,6
"866",2022,NA,NA,2,4,7,7
"867",2023,NA,NA,1,4,7,7
"868",2024,NA,NA,1,2,5,7
"869",2025,NA,NA,2,4,6,6
"870",2026,NA,NA,NA,4,6,6
"871",2027,NA,NA,1,2,3,7
"872",2028,NA,NA,1,3,3,6
"873",2029,NA,NA,1,3,3,5
"875",2030,NA,NA,1,3,3,5
"876",2031,NA,NA,1,1,3,5
"877",2032,NA,NA,NA,1,3,4
"878",2033,NA,NA,NA,1,3,4
"879",2034,NA,NA,1,3,3,4
"880",2035,NA,NA,NA,1,3,3
"881",2036,NA,NA,NA,NA,2,2
"882",2037,NA,NA,NA,2,2,3
"883",2038,NA,NA,NA,1,1,1
"884",2039,NA,NA,NA,2,2,3
"886",2040,NA,NA,1,2,3,4
"887",2041,NA,NA,NA,2,2,2
"888",2042,NA,NA,NA,NA,2,2
"889",2043,NA,NA,NA,2,3,3
"890",2045,NA,NA,NA,2,2,3
"891",2046,NA,NA,NA,2,2,3
"892",2047,NA,NA,1,2,2,2
"893",2048,NA,NA,NA,1,2,2
"894",2049,NA,NA,NA,1,2,2
"896",2050,NA,NA,NA,1,2,2
"897",2052,NA,NA,NA,NA,1,1
"898",2053,NA,NA,NA,1,2,2
"899",2054,NA,NA,NA,NA,1,1
"900",2055,NA,NA,NA,NA,1,2
"901",2056,NA,NA,1,2,2,2
"902",2057,NA,NA,1,1,1,5
"903",2058,NA,NA,1,1,2,6
"904",2059,NA,1,1,1,4,5
"906",2060,NA,NA,1,2,4,6
"907",2061,NA,NA,1,2,5,6
"908",2062,NA,NA,NA,NA,NA,1
"909",2063,NA,NA,1,2,5,6
"910",2064,NA,NA,1,2,5,6
"911",2065,NA,NA,1,1,5,6
"912",2066,NA,NA,1,2,3,5
"913",2067,NA,NA,1,2,5,6
"914",2068,NA,NA,1,2,5,6
"915",2069,NA,NA,1,2,3,3
"917",2070,NA,NA,NA,1,1,3
"918",2071,NA,NA,1,1,4,5
"919",2072,NA,NA,1,2,3,3
"920",2073,NA,NA,1,1,5,5
"921",2074,NA,NA,1,1,4,4
"922",2075,NA,NA,1,2,3,5
"923",2076,NA,NA,1,2,4,5
"924",2077,NA,NA,1,3,5,6
"925",2078,NA,NA,1,2,2,5
"926",2079,NA,NA,1,4,5,6
"928",2080,NA,NA,2,3,3,3
"929",2081,NA,NA,1,4,6,6
"930",2082,NA,NA,2,2,3,5
"931",2083,NA,NA,1,2,6,6
"932",2084,NA,NA,1,3,6,6
"933",2085,1,NA,2,3,4,4
"934",2086,NA,NA,3,3,3,6
"935",2087,NA,NA,2,3,5,6
"936",2088,NA,NA,2,2,3,3
"937",2089,NA,NA,2,3,3,6
"939",2090,NA,NA,1,4,6,6
"940",2091,NA,1,3,3,3,4
"941",2092,NA,NA,2,3,3,4
"942",2093,NA,1,2,3,4,4
"943",2094,NA,NA,1,1,2,3
"944",2095,NA,NA,NA,2,3,3
"945",2096,NA,NA,NA,NA,3,3
"946",2097,NA,NA,NA,NA,2,3
"947",2098,NA,NA,NA,2,3,3
"948",2099,NA,NA,1,2,2,4
"951",2100,NA,NA,NA,2,3,3
"952",2101,NA,NA,NA,2,3,5
"953",2102,NA,NA,NA,2,3,3
"954",2103,NA,NA,NA,1,3,4
"955",2104,NA,NA,NA,2,2,4
"956",2105,NA,NA,NA,2,3,3
"957",2106,NA,NA,2,3,3,3
"958",2107,NA,NA,NA,1,3,3
"959",2108,NA,NA,NA,3,4,7
"960",2109,NA,NA,NA,2,3,3
"962",2110,NA,NA,NA,3,4,6
"963",2111,NA,NA,NA,3,5,7
"964",2112,NA,NA,2,2,3,5
"965",2113,NA,NA,NA,1,2,3
"966",2114,NA,NA,2,3,6,7
"967",2115,NA,NA,NA,2,3,3
"968",2116,NA,1,3,3,3,4
"969",2117,NA,1,3,3,3,4
"970",2118,NA,NA,NA,1,3,4
"971",2119,NA,1,3,3,3,3
"973",2120,NA,NA,NA,1,2,2
"974",2121,NA,1,1,3,5,5
"975",2122,NA,NA,NA,2,3,3
"976",2123,NA,NA,NA,NA,3,3
"977",2124,NA,NA,2,2,3,4
"978",2125,NA,2,2,3,3,3
"979",2126,NA,1,2,2,3,4
"980",2127,NA,NA,1,1,1,1
"981",2128,NA,1,2,2,2,4
"982",2129,NA,NA,NA,1,1,1
"984",2130,NA,NA,NA,NA,1,2
"985",2131,NA,1,1,1,1,1
"986",2134,NA,1,1,1,2,2
"987",2135,NA,NA,1,1,2,2
"988",2136,NA,NA,1,1,2,2
"989",2138,NA,NA,1,1,1,1
"990",2139,NA,NA,1,1,1,2
"992",2140,NA,NA,NA,1,1,2
"993",2141,NA,NA,NA,NA,NA,2
"994",2142,NA,NA,NA,1,2,2
"995",2143,NA,NA,1,1,3,4
"996",2145,NA,NA,1,2,2,3
"997",2146,NA,NA,2,2,2,3
"998",2147,NA,1,2,2,3,3
"999",2148,NA,NA,1,2,3,3
"1001",2151,NA,1,2,2,2,3
"1002",2152,NA,1,2,2,3,4
"1003",2153,NA,1,2,2,2,2
"1004",2154,NA,1,2,2,2,2
"1005",2155,NA,1,2,2,2,3
"1006",2156,NA,1,2,2,2,2
"1007",2157,NA,1,2,2,2,3
"1008",2159,NA,1,2,2,2,3
"1010",2160,NA,2,2,2,3,4
"1011",2161,NA,1,2,2,2,4
"1012",2162,NA,2,2,2,3,3
"1013",2163,NA,2,2,2,2,3
"1014",2164,NA,1,2,2,3,3
"1015",2165,1,2,2,2,2,5
"1016",2166,NA,2,2,2,3,3
"1017",2167,NA,2,2,2,2,3
"1018",2168,NA,1,2,2,3,3
"1019",2169,NA,1,2,2,3,3
"1021",2170,2,2,2,2,2,5
"1022",2171,1,2,2,2,3,5
"1023",2172,1,1,2,2,2,4
"1024",2173,NA,2,2,2,2,2
"1025",2174,1,2,2,2,3,4
"1026",2175,NA,2,2,2,2,2
"1027",2176,1,2,2,2,2,4
"1028",2177,1,2,2,2,2,4
"1029",2178,NA,1,1,2,2,2
"1030",2179,NA,2,2,2,2,4
"1032",2180,NA,1,2,2,2,3
"1033",2181,1,2,2,2,3,4
"1034",2183,NA,NA,2,2,2,3
"1035",2184,NA,1,2,2,2,4
"1036",2185,NA,1,1,1,1,1
"1037",2186,NA,2,2,3,3,3
"1038",2187,NA,NA,NA,1,2,3
"1039",2188,NA,NA,NA,NA,NA,1
"1040",2189,NA,1,2,2,2,4
"1042",2191,NA,NA,NA,2,2,3
"1043",2192,NA,NA,NA,2,2,3
"1044",2193,NA,NA,NA,NA,NA,2
"1045",2194,NA,1,1,1,1,1
"1046",2196,NA,NA,NA,NA,2,3
"1047",2197,NA,NA,NA,NA,2,3
"1048",2198,NA,NA,1,2,2,2
"1049",2199,NA,NA,NA,1,3,3
"1052",2201,NA,NA,NA,2,2,3
"1053",2202,NA,NA,NA,1,1,1
"1054",2203,NA,NA,NA,NA,2,2
"1055",2204,NA,NA,NA,NA,3,3
"1056",2207,NA,NA,NA,NA,NA,2
"1057",2208,NA,NA,NA,NA,3,3
"1059",2210,NA,NA,1,2,3,3
"1060",2211,NA,NA,NA,2,2,3
"1061",2212,NA,NA,1,1,3,3
"1062",2213,NA,NA,NA,NA,1,2
"1063",2214,NA,NA,NA,NA,NA,2
"1064",2215,NA,1,1,1,3,3
"1065",2216,NA,NA,1,3,4,6
"1066",2217,NA,NA,1,1,1,2
"1067",2218,NA,NA,1,3,4,4
"1068",2219,NA,NA,3,3,4,6
"1070",2220,NA,NA,1,2,5,6
"1071",2221,NA,NA,NA,NA,1,6
"1072",2222,NA,NA,1,3,4,6
"1073",2223,NA,NA,NA,2,6,6
"1074",2224,NA,NA,1,2,5,6
"1075",2225,NA,NA,NA,3,6,6
"1076",2226,NA,NA,NA,4,6,6
"1077",2227,NA,NA,NA,1,5,6
"1078",2228,NA,NA,NA,3,5,5
"1079",2229,NA,NA,1,2,4,4
"1081",2230,NA,NA,NA,2,6,6
"1082",2231,NA,NA,NA,2,6,6
"1083",2232,NA,NA,NA,2,3,6
"1084",2233,NA,NA,NA,1,4,6
"1085",2234,NA,NA,1,1,3,6
"1086",2235,NA,NA,1,1,3,6
"1087",2237,NA,NA,1,1,3,5
"1088",2238,NA,NA,NA,NA,2,5
"1089",2239,NA,1,1,1,2,4
"1091",2240,NA,NA,NA,NA,NA,1
"1092",2242,NA,NA,NA,NA,NA,3
"1093",2243,1,1,1,1,2,5
"1094",2244,NA,NA,NA,1,1,1
"1095",2245,NA,NA,NA,2,2,3
"1096",2247,NA,NA,1,1,1,2
"1097",2248,NA,NA,1,1,1,3
"1098",2249,NA,NA,NA,NA,NA,2
"1100",2250,NA,NA,NA,1,1,1
"1101",2253,NA,NA,NA,1,1,1
"1102",2254,NA,NA,NA,NA,2,2
"1103",2255,NA,NA,1,1,1,1
"1104",2256,NA,NA,NA,NA,NA,2
"1105",2257,NA,NA,NA,1,1,1
"1106",2259,NA,NA,1,1,1,1
"1108",2260,NA,NA,NA,2,3,3
"1109",2262,NA,NA,1,1,1,1
"1110",2265,NA,NA,NA,NA,1,1
"1111",2269,NA,NA,NA,NA,1,1
"1113",2270,NA,NA,NA,NA,1,3
"1114",2271,NA,NA,NA,NA,2,2
"1115",2274,NA,NA,NA,NA,NA,1
"1116",2275,NA,NA,NA,NA,NA,1
"1117",2277,NA,NA,NA,NA,1,1
"1118",2278,NA,NA,NA,NA,1,1
"1120",2280,NA,NA,NA,NA,2,4
"1121",2282,NA,NA,NA,1,2,3
"1122",2283,NA,NA,NA,1,3,3
"1123",2284,NA,NA,NA,1,3,3
"1124",2286,NA,NA,NA,NA,2,2
"1125",2287,NA,NA,NA,1,3,3
"1126",2288,NA,NA,NA,1,1,5
"1127",2289,NA,NA,NA,1,1,6
"1129",2290,NA,NA,NA,1,2,5
"1130",2291,NA,NA,NA,1,2,5
"1131",2292,NA,NA,NA,1,2,5
"1132",2293,NA,NA,NA,1,2,2
"1133",2294,NA,NA,NA,NA,2,3
"1134",2295,NA,NA,NA,1,1,3
"1135",2296,NA,NA,1,2,3,6
"1136",2297,NA,NA,NA,1,3,6
"1137",2298,NA,NA,NA,1,2,6
"1138",2299,NA,NA,NA,2,2,3
"1141",2300,NA,NA,NA,1,2,3
"1142",2301,NA,NA,NA,1,3,3
"1143",2302,NA,NA,NA,NA,2,4
"1144",2303,NA,NA,NA,1,2,6
"1145",2304,NA,NA,1,1,2,6
"1146",2305,NA,NA,NA,1,2,3
"1147",2306,NA,NA,1,2,6,6
"1148",2307,NA,NA,NA,2,3,6
"1149",2308,NA,NA,NA,1,2,6
"1150",2309,NA,NA,1,1,5,6
"1152",2310,NA,NA,1,1,1,2
"1153",2311,NA,NA,NA,2,3,6
"1154",2312,NA,NA,NA,2,3,3
"1155",2313,NA,NA,1,3,6,6
"1156",2314,NA,NA,1,1,2,6
"1157",2315,NA,NA,NA,2,2,6
"1158",2316,NA,NA,1,1,2,3
"1159",2317,NA,NA,NA,1,3,6
"1160",2318,NA,NA,1,2,6,6
"1161",2319,NA,NA,NA,2,3,6
"1163",2320,NA,NA,1,3,3,4
"1164",2321,NA,NA,1,1,3,3
"1165",2322,NA,NA,1,2,5,6
"1166",2323,NA,NA,1,2,4,6
"1167",2324,NA,NA,1,2,5,6
"1168",2325,NA,NA,1,2,3,6
"1169",2326,NA,NA,1,1,1,1
"1170",2327,NA,NA,NA,NA,3,3
"1171",2328,NA,NA,1,3,3,6
"1172",2329,NA,1,1,2,3,6
"1174",2330,NA,NA,NA,3,3,6
"1175",2331,NA,NA,NA,2,3,6
"1176",2332,NA,NA,1,3,3,6
"1177",2333,NA,NA,1,2,5,6
"1178",2334,NA,NA,1,2,6,6
"1179",2335,NA,NA,1,2,6,6
"1180",2336,NA,1,2,3,3,4
"1181",2337,NA,1,1,3,4,6
"1182",2338,NA,NA,1,2,3,6
"1184",2340,NA,NA,1,3,6,6
"1185",2341,NA,NA,2,3,6,6
"1186",2342,NA,NA,2,2,6,6
"1187",2343,NA,NA,NA,NA,2,5
"1188",2344,NA,NA,NA,NA,1,5
"1189",2345,NA,NA,NA,1,3,6
"1190",2346,NA,NA,NA,NA,NA,4
"1191",2347,NA,NA,NA,2,2,6
"1192",2348,NA,NA,1,1,3,4
"1193",2349,NA,NA,NA,NA,1,1
"1195",2350,NA,NA,2,2,3,6
"1196",2351,1,1,2,2,5,6
"1197",2352,NA,NA,1,2,3,6
"1198",2353,NA,1,1,2,5,6
"1199",2354,NA,1,1,2,6,6
"1200",2355,NA,NA,NA,2,3,3
"1201",2357,NA,NA,NA,NA,2,3
"1202",2358,1,1,1,2,4,6
"1203",2359,NA,1,1,2,5,6
"1205",2360,NA,NA,1,3,5,6
"1206",2361,NA,1,1,2,5,6
"1207",2362,NA,NA,NA,1,5,6
"1208",2363,NA,1,2,3,5,6
"1209",2365,NA,NA,1,3,3,5
"1210",2366,NA,NA,NA,2,4,6
"1211",2367,NA,NA,NA,3,4,6
"1212",2368,NA,NA,1,1,5,6
"1213",2369,NA,NA,NA,2,3,3
"1215",2370,NA,NA,1,3,4,6
"1216",2371,NA,NA,1,1,4,5
"1217",2372,NA,NA,NA,2,3,3
"1218",2373,NA,1,1,2,5,5
"1219",2374,NA,NA,2,3,3,3
"1220",2375,NA,NA,1,1,2,2
"1221",2376,NA,NA,1,3,4,5
"1222",2377,NA,NA,NA,1,1,2
"1223",2378,NA,NA,NA,2,2,2
"1224",2379,NA,NA,2,2,2,3
"1226",2380,NA,NA,NA,NA,2,2
"1227",2381,NA,NA,2,2,2,3
"1228",2382,NA,NA,NA,NA,2,3
"1229",2383,NA,NA,2,2,3,6
"1230",2385,NA,2,2,2,4,6
"1231",2386,NA,NA,2,2,2,3
"1232",2387,NA,NA,NA,NA,2,2
"1233",2388,NA,NA,NA,NA,2,2
"1234",2389,NA,NA,NA,2,2,2
"1236",2390,NA,2,2,2,2,3
"1237",2391,NA,NA,2,3,4,5
"1238",2392,NA,NA,NA,2,2,2
"1239",2393,NA,2,2,2,2,3
"1240",2394,NA,2,2,2,3,3
"1241",2395,NA,NA,NA,NA,2,2
"1242",2396,NA,2,2,2,4,4
"1243",2397,NA,2,2,2,3,3
"1244",2399,NA,NA,2,2,2,3
"1247",2400,NA,NA,NA,2,2,2
"1248",2401,NA,2,2,2,2,2
"1249",2402,NA,NA,NA,NA,NA,2
"1250",2403,NA,2,2,2,2,5
"1251",2404,NA,NA,2,2,2,2
"1252",2405,NA,2,2,2,2,3
"1253",2406,NA,NA,2,2,2,3
