"","MSOA11CD.row","tuesday.12pm15","tuesday.12pm30","tuesday.12pm45","tuesday.12pm60","tuesday.12pm75","tuesday.12pm90"
"455",161,NA,NA,NA,NA,NA,2
"465",162,NA,NA,NA,1,1,2
"476",163,NA,NA,3,7,15,20
"487",164,NA,NA,5,10,14,20
"498",165,NA,2,6,13,24,30
"509",166,NA,NA,2,5,13,17
"518",167,NA,NA,5,11,17,24
"529",168,NA,1,6,8,19,27
"540",169,NA,1,5,12,20,28
"551",170,NA,NA,6,13,22,27
"562",171,NA,2,6,13,25,30
"573",172,NA,1,8,16,25,34
"584",173,NA,NA,6,15,24,32
"595",174,NA,2,7,14,26,35
"604",175,NA,1,7,16,25,34
"615",176,NA,NA,5,10,18,21
"626",177,NA,1,6,14,25,27
"636",178,NA,1,5,16,23,31
"646",179,NA,1,5,16,27,33
"657",180,NA,NA,6,11,20,25
"668",181,NA,NA,2,4,5,5
"679",182,1,1,6,13,22,29
"690",183,NA,1,5,14,23,31
"701",184,NA,1,6,16,22,30
"712",185,1,2,7,16,26,31
"723",186,NA,2,9,18,29,37
"734",187,NA,2,11,18,29,36
"745",188,1,3,11,19,27,36
"756",189,NA,4,11,20,33,38
"768",190,NA,5,11,19,30,39
"776",191,NA,4,13,20,30,40
"777",192,NA,2,4,8,14,20
"780",193,NA,1,4,6,15,21
"781",194,NA,1,3,8,15,22
"784",195,NA,2,3,9,15,23
"795",196,NA,2,3,6,15,18
"806",197,NA,3,3,5,12,15
"817",198,1,3,3,8,14,18
"828",199,NA,2,4,7,9,17
"841",200,NA,3,3,6,12,17
"852",201,1,3,3,7,15,18
"863",202,NA,2,3,7,12,19
"874",203,1,3,4,7,11,15
"885",204,NA,2,3,6,8,14
"895",205,1,3,4,5,12,16
"905",206,NA,3,5,7,13,22
"916",207,NA,1,3,7,8,13
"927",208,NA,NA,1,5,7,9
"938",209,NA,2,4,7,11,21
"950",210,1,3,5,7,10,19
"961",211,NA,2,3,7,7,13
"972",212,NA,3,3,6,9,15
"983",213,NA,1,3,4,6,10
"991",214,1,3,5,8,17,22
"1000",215,NA,NA,2,4,7,10
"1009",216,NA,1,3,5,7,8
"1020",217,1,3,3,6,10,16
"1031",218,NA,1,4,5,8,10
"1041",219,NA,1,3,6,7,10
"1051",220,NA,NA,3,4,7,9
"1058",221,NA,1,3,5,7,10
"1069",222,NA,NA,1,3,6,9
"1080",223,NA,NA,3,4,6,10
"1090",224,NA,NA,2,4,6,8
"1099",225,NA,1,3,5,7,10
"1107",226,NA,NA,NA,2,4,5
"1112",227,NA,1,3,5,8,14
"1119",228,NA,NA,NA,4,5,11
"1128",229,NA,NA,NA,NA,1,6
"1140",230,NA,NA,1,3,5,7
"1151",231,NA,NA,1,4,5,8
"1162",232,NA,NA,1,1,3,5
"1173",233,NA,NA,NA,2,4,5
"1183",234,NA,NA,1,2,5,6
"1194",235,NA,NA,NA,5,12,14
"1204",236,NA,NA,2,4,6,8
"1214",237,NA,NA,3,10,19,27
"1225",238,NA,NA,1,8,15,19
"1235",239,NA,1,3,8,15,21
"1246",240,NA,NA,1,8,16,19
"1257",241,NA,1,5,12,19,28
"1266",242,NA,1,2,6,13,19
"1270",243,NA,1,2,3,5,7
